sample_id,frame_id,key_dis,urdf_id,num_points,num_kp,ini_base_r,ini_child_r,ini_base_t,ini_child_t,new_base_r,new_child_r,new_base_t,new_child_t,cam_base_r,cam_child_r,cam_base_t,cam_child_t
11,11,1,10040,1024,8,5.30393003934447,23.15753332985477,0.13767043,0.20138801343542018,4.408367210061479,8.870681057444001,0.17065753841258183,0.1474237880938124,4.433732090685398,8.810475319873865,0.16735800372375406,0.1650970888648044
12,12,2,10040,1024,8,4.1942327852947,16.197462072644615,0.21888249,0.24937132034647835,5.24064495749387,17.206152760365857,0.20249147956616445,0.1479584265844549,5.258728701383073,17.171486736843256,0.20216134420102586,0.11499394480226316
13,13,3,10040,1024,8,4.906322790291061,69.96479820310296,0.22859234,0.47947521356557976,5.872321994158273,21.165898106253582,0.21270778192352738,0.16489771940336095,5.880351161743743,21.229333722611447,0.21211171975746254,0.13528442550339123
14,14,4,10040,1024,8,5.191389139367691,177.95657215535962,0.21436621,0.8667072266735005,4.77031589993642,36.186528027316506,0.13304962527426778,0.3242753649453692,4.840691194747566,35.85717730802291,0.12684382089228724,0.26863880306794524
15,15,5,10040,1024,8,6.970997816060927,176.17867403476382,0.14047739,0.9927973843964639,8.411932718611208,38.31393761647064,0.1625617026414974,0.3198261449065334,8.367822790293113,38.50954060910387,0.15598823807146245,0.3305046164581663
16,16,1,10040,1024,8,7.373950334438289,16.50912283389263,0.16958131,0.05046940194567395,7.74070374377145,15.205698019524936,0.18108205544362987,0.15539703234466348,7.74864166020449,14.567771387362203,0.18192124658007508,0.15238799609123324
17,17,2,10040,1024,8,4.444352973802738,111.04441303543321,0.2191327,0.8367570580483801,3.5238610877447205,17.711783182178856,0.23539788917950352,0.13730443307417287,3.4474991317893076,18.28665014146738,0.22613266802187296,0.11882318243472482
18,18,3,10040,1024,8,4.94268447065089,130.81338091547005,0.033864766,0.940781793685107,3.197305916067803,19.915881497002218,0.2077765020495095,0.13288575175865283,3.148449926310969,20.238195146387756,0.20831151276556592,0.16692339973435188
19,19,4,10040,1024,8,5.198781514470241,152.393877376292,0.22681618,1.083040775571049,6.282650097493578,18.705450476387863,0.26754607345402964,0.15526226774377774,6.267689876917801,18.8711254598622,0.2661344759426336,0.1432192440755335
20,20,5,10040,1024,8,7.580122930765727,153.14974157876574,0.13711041,1.0923839770880968,6.758101287990357,30.038760186958733,0.16376332217674036,0.18736968774339224,6.7157465776678364,30.17787125560502,0.17107159083694418,0.21068774556078104
21,21,1,10040,1024,8,7.401306900200276,130.69839636672594,0.28415564,1.0275702285930854,8.297148959281197,12.366228597026952,0.1599534481710722,0.15939711442137894,8.268124557282341,12.969522898952492,0.17196554967086605,0.22152255789969422
22,22,2,10040,1024,8,7.453088260055343,115.53483867079007,0.29582104,0.6800699920165526,7.452058308494805,12.973646104612893,0.11903681109661264,0.18226674080323546,7.4351331271036445,13.180901294926565,0.11601659410936659,0.1684819307992251
23,23,3,10040,1024,8,8.797790040075906,86.45854992096874,0.3689279,0.5229230157397317,9.134547002293322,16.468832556813496,0.1671863434585794,0.14217307466310763,9.163314095846413,17.45869224922106,0.15915460053872357,0.17470541994536953
24,24,4,10040,1024,8,5.530877973477866,163.81575218636706,0.25722575,0.8695589890542121,5.540144771924137,13.996510287088016,0.11361248656544926,0.20431545816877456,5.469287505834976,14.854577079588761,0.11272489679712216,0.16439763087811557
25,25,5,10040,1024,8,9.666011139358636,163.35997114509183,0.19603786,0.8852733011789029,9.869715309638096,20.21677365053467,0.13201453575900973,0.22675392377670348,9.859042784182485,19.307931134514043,0.12578522846557322,0.21088807520748235
26,26,1,10040,1024,8,9.387409341746318,66.69242709889386,0.23522596,0.5289659376030658,9.317097902753066,13.606276878266215,0.15445373643256172,0.11034309657753666,9.397995797640297,13.990751636790366,0.15838190825170353,0.10848591903809669
